combination,tier,fork,child,node,parameter,main_value,value,basis,informativeness_rank,rank_reason,est_cost_s,cumulative_cost_s,status,reason_if_not_run
stage2=g_no_winsorisation,2,-,-,analysis/04_stage2/g_oosErrorBoosting,ZCLIP,3,none,fitting the raw standardised error is the naive choice,8,shows what the bound is protecting against,21.8,1178.9,planned,
stage2=g_lr0.1,2,-,-,analysis/04_stage2/g_oosErrorBoosting,learning_rate,0.05,0.1,as above,9,,21.8,1200.7,planned,
stage2=g_min_leaf50,2,-,-,analysis/04_stage2/g_oosErrorBoosting,min_samples_leaf,20,50,"as above, stronger smoothing",9,,21.8,1222.5,planned,
stage2=g_no_clip,2,-,-,analysis/04_stage2/g_oosErrorBoosting,CLIP_AT_ZERO,True,False,clipping is a combination-rule choice; its effect is already decomposed in comparison.json,9,known to be worth ~0.5%; confirms the decomposition under the frozen run,21.8,1244.3,planned,
stage2=f_alpha1,2,-,-,analysis/04_stage2/f_oosErrorRidge,RIDGE_ALPHA,10,1,unsearched penalty,10,the linear sibling's own sensitivity,16.3,1260.6,planned,
stage2=f_alpha100,2,-,-,analysis/04_stage2/f_oosErrorRidge,RIDGE_ALPHA,10,100,unsearched penalty,10,,16.3,1276.9,planned,
stage2=g_no_cross_province,2,-,-,analysis/04_stage2/g_oosErrorBoosting,features,full set,drop nat_last3,the cross-province mean had the weakest diagnostic signal,10,isolates the pooling-as-information axis,21.8,1298.7,planned,
stage2=g_warmup12,2,-,-,analysis/04_stage2/g_oosErrorBoosting,WARMUP_MONTHS,24,12,the diffuse-initialisation warm-up was set by judgment,11,,21.8,1320.5,planned,
stage2=g_warmup36,2,-,-,analysis/04_stage2/g_oosErrorBoosting,WARMUP_MONTHS,24,36,as above,11,,21.8,1342.3,planned,
stage1=enforce_stationarity,2,-,-,analysis/02_stage1,enforce_stationarity/invertibility,False/False,True/True,statsmodels' defaults; batch 2 turned them off for convergence on sparse provinces,12,"mostly changes fits in sparse provinces, which carry little CRPS",29.5,1371.8,planned,
stage2=g_min_train_rows1000,2,-,-,analysis/04_stage2/g_oosErrorBoosting,MIN_TRAIN_ROWS,200,1000,abstention threshold set by judgment,13,"never binds at ~5,000 rows; confirms that",21.8,1393.6,planned,
modelable=36_months,2,-,-,analysis/01_data/02_characterise,min modelable months,24,36,"the modelability threshold was set once, unexamined",14,changes which sparse provinces enter; small CRPS mass,29.5,1423.1,planned,
stage1=log1p_transform,3,-,-,analysis/02_stage1,target transform,raw counts,"log1p, bias-corrected back-transform",the plan logged this fork in batch 2,-,,-,-,not_run,"needs a verified CRPS on the transformed or lognormal scale (an extension of 00_metric); development cost, not compute"
stage1=negative_binomial_family,3,-,-,analysis/02_stage1,predictive family,Gaussian,negative binomial or zero-truncated normal,the diagnostics show the coverage deficit is a heavy tail a Gaussian cannot carry; the literature's count models reach nominal coverage,-,,-,-,not_run,needs a verified count-distribution CRPS and a different stage-2 contract (correction on a non-Gaussian mean); the most consequential fork not run
stage2=g_multiplicative,3,-,-,analysis/04_stage2/g_oosErrorBoosting,combination rule,additive,multiplicative on the log scale,Wang et al. (2013) find multiplicative hybrids more accurate,-,,-,-,not_run,undefined where stage 1's mean is near or below zero; needs a design decision
stage2=g_enso_covariate,3,-,-,analysis/04_stage2/g_oosErrorBoosting,features,dataset columns only,add ONI/Nino3.4 at lags 3-6 months,the literature's one climate signal with multi-month lead in Laos,-,,-,-,not_run,a new data acquisition and a data-governance decision (plan §4); human call
evaluation=chap_native,3,-,-,analysis/00_metric,harness,native Python CRPS,chap-core evaluation,the prior project's route,-,,-,-,not_run,"decided against in plan §4 (agent-autonomous, batch 1); reopening it is a plan change, not a perturbation"
