date,settled_by,decision,agency
2026-08-26,"settled by batch 5, from the design","A third case is recorded beside §4b's two: the **scoring fork**, which re-scores every model without re-running any of them",agent-autonomous
2026-08-26,"settled by batch 5, from the design","The combination is an environment variable `COMBO`, defaulting to `main`, and every node reads and writes under `results/$COMBO/`",agent-autonomous
2026-08-26,"settled by batch 5, from the design",Models are re-run only when a fork upstream of them moved; the reuse is a column in the manifest,agent-autonomous
2026-08-26,"settled by batch 5, from the design",**The forecast horizon is removed from phase D's fork list**,agent-on-human-assessment
2026-08-26,"settled by batch 5, from the design",Population becomes two forks: what the **column** contains (setup) and how **our model uses it** (candidate),agent-autonomous
2026-08-26,"settled by batch 5, from the design","The reference is re-scored **four times** wherever it is re-scored at all, on development and on the holdout alike",agent-autonomous
2026-08-26,"settled by batch 5, from the design",Tier 2 of the manifest — the pairs — is selected by a rule written before tier 1 runs and applied by a script,agent-autonomous
2026-08-26,"settled by batch 5, from the design",Phase C ends when the leaderboard's best moves by less than **0.4 CRPS** in a batch,agent-autonomous
2026-08-26,"settled by batch 5, from the design","Alternatives children are lettered `a_`, `b_`, `c_`; sub-analyses children keep `NN_`",agent-autonomous
2026-08-26,"settled by batch 5, from the design",`06_holdout` is not created until batch 16,agent-autonomous
2026-08-26,"settled by batch 5, from the design","Batch 7 additionally builds `02_setup`, `04_score` and the reference node",agent-autonomous
2026-08-26,"settled by batch 5, from the design","The §9 budget is expressed in implementation effort, and phase C is cut to four batches with an evidence-based stopping rule",agent-autonomous
2026-08-26,"settled by batch 7, from the tree running","**The development backtest resolves differences of about 4 CRPS, and nothing below 0.57 CRPS can be attributed to a model at all**",agent-autonomous
2026-08-26,"settled by batch 7, from the tree running","Phase C's 0.4 CRPS stopping rule is **left where batch 5 fixed it**, although the measured floor is 0.57",agent-autonomous
2026-08-26,"settled by batch 7, from the tree running","**Calibration and lead-time structure are reported beside CRPS in phase C, not after it**",agent-autonomous
2026-08-26,"settled by batch 7, from the tree running",Each fork gets **only its main-path child** until the code that runs a sibling exists,agent-autonomous
2026-08-26,"settled by batch 7, from the tree running","A stage finds its input by **searching for the one child of the previous fork with results under this combination**, never by naming a child",agent-autonomous
2026-08-26,"settled by batch 7, from the tree running",Every model of ours reaches `chap eval` through **one shared script**,agent-autonomous
2026-08-26,"settled by batch 7, from the tree running",`install-chap.sh` **installs from `lock.txt`** rather than resolving afresh and writing it,agent-autonomous
2026-08-26,"settled by batch 7, from the tree running","The reference's run costs from batch 7 are an **upper bound**, not a measurement, and batch 12 re-measures them",agent-autonomous
2026-08-26,"settled by batch 7, from the tree running",**The headline weighting fork is not to be cut from the manifest** without an explicit decision,agent-autonomous
2026-08-27,"settled by batch 8, from the first candidate","**Model configuration reaches an `MLproject` model through a file assembled from the forks**, not through a file checked in beside the model",agent-autonomous
2026-08-27,"settled by batch 8, from the first candidate","The project seed is derived per component as **BLAKE2b of `""<project seed>:<component>""`**, read from the settings table in `readme-at-start.md`",agent-autonomous
2026-08-27,"settled by batch 8, from the first candidate",The candidate's default covariate set is **rainfall and mean temperature at a two-month lag**,agent-on-human-assessment; the configuration was `agent-retrieved`
2026-08-27,"settled by batch 8, from the first candidate","**No autoregressive term on lagged counts in candidate 1's defaults**, although a lag of three is available at every horizon",agent-autonomous
2026-08-27,"settled by batch 8, from the first candidate",**The reference is not re-run when a batch only adds a model of ours**,agent-autonomous
2026-08-27,"settled by batch 8, from the first candidate","**The backtest's resolution is a property of the pair being compared, not of the dataset alone**",agent-autonomous
2026-08-27,"settled by batch 8, from the first candidate",Phase C's 0.4 CRPS stopping rule is **applied as written and not adjusted**: it governs whether a further *candidate* batch is added,agent-autonomous
2026-08-27,"settled by batch 9, from the fork sweep","**One-at-a-time fork effects do not add, and two of nine reverse sign**",agent-autonomous
2026-08-27,"settled by batch 9, from the fork sweep","The promotion rule — **a fork moves only if its best child beats the main path by more than the 0.57 CRPS floor**, takes that fork's best child, and the promoted combination is then run; backed off if it is worse than the best single fork by more than the floor",agent-autonomous
2026-08-27,"settled by batch 9, from the fork sweep","The rule is **applied once**, not iterated to a fixpoint",agent-autonomous
2026-08-27,"settled by batch 9, from the fork sweep","**The width defect and the autoregressive term became forks, not model changes**",agent-autonomous
2026-08-27,"settled by batch 9, from the fork sweep","A combination **inherits what it did not move**, through `COMBO_BASE`, and every inheritance is recorded in the file that reports it",agent-autonomous
2026-08-27,"settled by batch 9, from the fork sweep",The fork sweep is a **phase-C selection aid** and stops at `04_score/02_aggregate`,agent-autonomous
2026-08-27,"settled by batch 9, from the fork sweep","The convergence tolerance was **not relaxed**, although the promoted fit runs to its 200-round cap",agent-autonomous
2026-08-27,"settled by batch 9, from the fork sweep",Phase C's 0.4 CRPS stopping rule **does not stop the phase**: batch 9 moved the best of our models by **2.402** CRPS,agent-autonomous
2026-08-27,"settled by the human, on batch 9's open question","**Phase C does not iterate the promotion rule on the main path.** Batch 9's decision to apply it once stands, and the reported analysis is the one that stopped",human-set
2026-08-27,"settled by the human, on batch 9's open question","**The iterated path is run anyway, on a branch named `greedy` that is never merged**, as batch 21",human-set
2026-08-28,"settled by batch 10, from the second candidate","**A model of ours beats the reference on development for the first time**: gradient-boosted trees at mean CRPS **20.771** against 22.098, ahead of each of the reference's four unseeded repeats individually, and the first margin in the project to clear the 0.565 CRPS floor",agent-autonomous
2026-08-28,"settled by batch 10, from the second candidate","**The family fork is not promoted in batch 10**, although candidate 2 leads candidate 1 by 2.927 CRPS — five times the floor",agent-autonomous
2026-08-28,"settled by batch 10, from the second candidate","**The probabilistic head is where the family fails, and the reason was written down before the model ran**",agent-autonomous
2026-08-28,"settled by batch 10, from the second candidate","The quantile head's failure is **kept, not repaired**",agent-autonomous
2026-08-28,"settled by batch 10, from the second candidate","**The two heads fail in opposite directions**, and reporting either number alone would mislead",agent-autonomous
2026-08-28,"settled by batch 10, from the second candidate","**scikit-learn enters the project**, in one model's environment, pinned exactly by the lockfile beside it; and the fitted ensembles are stored as JSON this project's own code can walk",agent-autonomous
2026-08-28,"settled by batch 10, from the second candidate","The boosting hyper-parameters are a **logged decision, not forks**; the round count is chosen by a **time-ordered** early-stopping split",agent-autonomous
2026-08-28,"settled by batch 10, from the second candidate","**Two of the three comparison figures would have dropped a series silently** on the fifth model, and the invariant checks could not have seen it",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","**The reported conclusion is positive.** The main path is a linear opinion pool over the two candidate families and the two required baselines, at mean CRPS **18.817** against the reference's 22.098 — skill **+0.1485**, ahead of both required baselines, ahead of each of the reference's four repeats individually, and better in six of the eight splits",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","**The family fork moves to `c_ensemble`**, by a rule written after the family leaderboard existed and committed before the promoted family was run under `main`",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","Candidate 1's `results/main/` are **removed** and it is re-run under `family_hierNB`, where its per-cell scores are **identical**",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","**Estimating the pool's weights costs 4.021 CRPS**, and that is the batch's most useful result",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","**A prediction registered before the run was wrong, and it is kept where it was written**",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","The winning model is the **most over-dispersed** in the project, and the innocent explanation was measured and rejected",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","**The pool contains no member code**: each member runs through its own Chap entry points, read out of the member's own `MLproject`, and its configuration is assembled under the running combination by that member family's own scripts",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","The pool is **verified by a second path**: rebuilt from its members' own stored evaluations and scored with chap-core's own CRPS, it gives 18.801 against the 18.817 it scored",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","**The assembler lift batch 10 scheduled for batch 11 is deferred to batches 13–14**, and the deferral is recorded in four places",agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork",**Phase C is closed although its stopping rule permits another candidate batch**,agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork",`verify_model_determinism.sh` names **every** candidate by its own node path,agent-autonomous
2026-08-28,"settled by batch 11, from the ensemble and the family fork","**A model node was reading a scoring node, and the check found it**",agent-autonomous
2026-08-27,"settled by batch 21, from the greedy branch","**Iterating the rule reaches a fixpoint in three rounds at 21.275 mean CRPS**, past the reference's 22.098 and past each of its four repeats individually — and changes nothing the project can conclude",agent-autonomous
2026-08-27,"settled by batch 21, from the greedy branch","**The cost of iterating is paid in the record, not in the score.** The first fork the rule moved (`04_fitTime` → `b_refitAtPredict`) is the one under which the model has no stored fitted object at all",agent-autonomous
2026-08-27,"settled by batch 21, from the greedy branch","**A second demonstration that one-at-a-time fork effects do not compose, with the sign reversed**",agent-autonomous
2026-08-27,"settled by batch 21, from the greedy branch","The branch's model does **not** join the phase-D manifest, and the holdout is not opened on it",agent-autonomous
2026-08-27,"settled by batch 21, from the greedy branch","**`verify_model_determinism.sh` was reporting `differs` unconditionally, and was repaired.** Both passes now run under one scratch combination name; pass 1's outputs are copied aside and compared with what pass 2 writes over them",agent-on-human-assessment
2026-08-29,"settled by batch 12, from the manifest","**The fork inventory is computed from the tree, not listed.** `05_stability/scripts/lib/inventory.py` walks `analysis/` for alternatives nodes",agent-autonomous
2026-08-29,"settled by batch 12, from the manifest","**The nine children this tree named in prose are created as nodes**, scaffolded and unbuilt",agent-autonomous
2026-08-29,"settled by batch 12, from the manifest",**The two baseline forks moved kind.** They re-run our reported model as well as their own leaderboard row,agent-autonomous
2026-08-29,"settled by batch 12, from the manifest","**The manifest is 24 tier-1 rows, not batch 5's 20**, and its arithmetic is a script's rather than a report's",agent-autonomous
2026-08-29,"settled by batch 12, from the manifest","**Compute is not what binds, by a factor of four**, and the manifest says what does",agent-autonomous
2026-08-29,"settled by batch 12, from the manifest","The budget is **12 wall-clock hours for the manifest run twice**, set by the agent",agent-autonomous
2026-08-29,"settled by batch 12, from the manifest","**Every cost in the manifest is measured, including the pipeline's own steps**",agent-autonomous
2026-08-29,"settled by batch 12, from the manifest","**Twelve tier-1 rows have results on disk that their row would replace**, and this is recorded rather than discovered in batch 14",agent-autonomous
2026-08-29,"settled by batch 12, from the manifest","**Two defects block twelve built rows**, found by planning rather than by running",agent-autonomous
2026-08-29,"settled by batch 12, from the manifest",**The driver is written and is deliberately not in `run.sh` yet**,agent-autonomous
2026-08-29,"settled by batch 12, from the manifest",**A new invariant: the combination space is closed.** `/validate invariants` gains a `combos` check,agent-autonomous
2026-08-29,"settled by batch 12, from the manifest","**Batch 22 is appended**: the two baseline forks' children, built and run",agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run",**The five `02_setup` forks do not move the conclusion; the one scoring fork moves it four times as much as any of them**,agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run","**Under case weighting, persistence beats the model this project reports** — 86.598 against 88.484 — and the pool's 10–90 coverage falls from 0.863 to 0.701",agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run",**Three of the five setup rows move the reference rather than our model**,agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run","**The reference model crashes about once in a hundred jobs**, and each repeat is now retried up to three times",agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run","**A failed re-run of the reference left a results directory that looked complete**, and the node now clears it first",agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run",**`conclude.py` reported a required baseline as the project's model** on both scoring rows,agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run",**The tier-2 rule is not applied until every tier-1 row has been attempted.** `tier2_rule.md` is unchanged and its sha256 is unchanged,agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run",**Batch 12's cost model predicts the total to 2 % and every individual row wrongly**,agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run",**The archived population column does not have the level its schema claims**,agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run","The population back-cast uses a **national** series, so it probes a trend and not a provincial differential",agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run","The three children of the weighting fork share **one** implementation, and `a_unweighted` was moved onto it",agent-autonomous
2026-08-29,"settled by batch 13, from the first rows to run",**`node.py rebuild` will re-add the stability driver to `run.sh` every time it is run there**,agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks","**The reported analysis stands on the worse of two published constructions of a required baseline, by 4.181 CRPS, and the fork is not promoted**",agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks","**A better member is a worse pool**, and this is the second independent demonstration that the pool's win comes from disagreement rather than member quality",agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks",**The shape of a baseline's predictive distribution matters here and the window it is estimated over does not**,agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks","**Every constant in the alternative construction is the source's**, including a five-observation window that is five weeks there and five months here",agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks","The alternative's dispersion is re-estimated at **predict** time, so the fork moves *where* the spread is estimated as well as its form",agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks","**Two more fork-blind globs, and this is now the fourth instance**",agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks","Two contract directories rather than one with a construction switch, accepting a duplicated table build in the climatology pair",agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks",**Moving fitting into `predict` costs the record rather than the score — the third instance**,agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks","**Storage, not compute, is the number to watch before phase E**",agent-autonomous
2026-08-29,"settled by batch 22, from the two baseline forks",`verify_model_determinism.sh` names all seven models by their **leaf** nodes,agent-autonomous
2026-08-29,"settled by the human, on batch 22's storage question","**Storage is not a constraint on this project.** A few gigabytes for the whole repository is fine, and no batch is to plan, cut or rank around disk",human-set
2026-08-31,"settled by batch 14, from the completed development manifest",**The choice of model family moves the reported conclusion twenty-seven times more than any choice inside a family**,agent-autonomous
2026-08-31,"settled by batch 14, from the completed development manifest",**The one candidate-internal fork that is not inside a member is the second-largest move in the set**,agent-autonomous
2026-08-31,"settled by batch 14, from the completed development manifest","**The pairs are not the sum of their parts, and the largest interaction exceeds both main effects behind it**",agent-autonomous
2026-08-31,"settled by batch 14, from the completed development manifest","**Case weighting is the one condition under which a required baseline beats the reported model**, in every combination it appears in",agent-autonomous
2026-08-31,"settled by batch 14, from the completed development manifest","**A fourth fork-blind step, and the first found by running rather than by planning**",agent-autonomous
2026-08-31,"settled by batch 14, from the completed development manifest","**A member family's fork is run only where the combination cannot already resolve it**, from `COMBO` or `COMBO_BASE`",agent-autonomous
2026-08-31,"settled by batch 14, from the completed development manifest","**The two weighting rows had been reporting the main path's paired spread**, and are re-run",agent-autonomous
2026-08-31,"settled by batch 14, from the completed development manifest","**The per-split diagnostics gap stays open**, against batch 22's expectation of this batch",agent-autonomous
2026-08-31,"settled by batch 14, from the completed development manifest","**Batch 12's cost model is confirmed a second time: right on the total, wrong on every row**",agent-autonomous
2026-08-31,"settled by batch 14, from the completed development manifest","**The repository is 1.1 GB and the disk holds 10 GB**, and the whole difference is disposable",agent-autonomous
2026-08-31,"settled by batch 15, from the reported distribution","**The scale on which ""does the conclusion move"" is answered is measured, not chosen: the reference model's own re-run spread in skill, 0.0218**",agent-autonomous
2026-08-31,"settled by batch 15, from the reported distribution","**Six of the seventeen forks move the conclusion further than that band and eleven do not**, and nine of the eleven are the candidate-internal forks phase C selected among",agent-autonomous
2026-08-31,"settled by batch 15, from the reported distribution","**The reported analysis is the thirteenth of thirty-two, not the middle of the range**, and the failures are structured",agent-autonomous
2026-08-31,"settled by batch 15, from the reported distribution",**Mean CRPS is summarised within a weighting and never across one**,agent-autonomous
2026-08-31,"settled by batch 15, from the reported distribution","**`run_manifest.py` joins `run.sh`, and `analysis/run.sh` becomes about four hours rather than twenty minutes**",agent-on-human-assessment
2026-08-31,"settled by batch 15, from the reported distribution","**The phase-E set is frozen with its development pairing, row by row**, under `__holdout` names",agent-autonomous
2026-08-31,"settled by batch 15, from the reported distribution",**`plan_manifest.py`'s documented `--freeze-check` flag does not exist and could not work as described**,agent-autonomous
2026-08-31,"settled by batch 15, from the reported distribution","**The completed development manifest took 3.66 hours, not the 3.2 batch 14 reported**",agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout","**The holdout is reached by one switch, in `analysis/scripts/lib/combos.py`, keyed on the `__holdout` suffix the frozen manifest already names its rows with**",agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout","**`01_data/01_partition` opens the seal, by reassembling the archive from the two parts beside it**",agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout","**The tree gained no `06_holdout` node**, although `analysis/README.md` had reserved one",agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout","**A holdout row that has run is not run again, enforced by the driver rather than remembered**",agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout","**The thirty-third frozen row is not run, because its development twin was not**",agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout",**Each dataset's forks are judged against that dataset's own noise band**,agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout","**The gap is reported plainly and is not explained away: +0.1485 to +0.0868, and a spread that more than doubles**",agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout","**The largest effect on the holdout is a fork that moves the reference model, not ours**",agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout",**`freeze_holdout_manifest.py`'s `frozen_at_commit` is read from git rather than recomputed**,agent-autonomous
2026-08-31,"settled by batch 16, from the opened holdout","**The two ranked figures moved into `scripts/lib/`, with one-screen runners as the steps**",agent-autonomous
2026-08-31,"settled by batch 17, from the collection and the report","**A claim states the figures a file holds, never a ratio between two of them that no file computes** — *superseded the same day by the human; see the entry below*",agent-autonomous
2026-08-31,"settled by batch 17, from the collection and the report","**The report's within-result levels are built for every scored combination, not only for the main path**",agent-autonomous
2026-08-31,"settled by batch 17, from the collection and the report",**The report displays stored numbers and computes none**,agent-autonomous
2026-08-31,"settled by batch 17, from the collection and the report","**What the report lists is decided by git, not by a skip list**",agent-autonomous
2026-08-31,"settled by batch 17, from the collection and the report",**`.gitignore` ignores the report's contents rather than its directory**,agent-autonomous
2026-08-31,"settled by batch 17, from the collection and the report",**A province with no evaluable cell sorts last and prints as an em dash**,agent-autonomous
2026-08-31,"settled by the human, on batch 17's question","**A claim may state what follows trivially from the figures it cites — a ratio, a ranking, a difference — and may not state anything that needed a step nobody ran**",human-set
2026-08-31,"settled by the human, on batch 16's two open questions","**The agent writes the judgment about where this setup was more trouble than it was worth, and the human comments and edits afterwards**",human-set
2026-08-31,"settled by the human, on batch 16's two open questions",**`analysis/run.sh` is not split; the stability and phase-E runs stay inside it**,agent-on-human-assessment
2026-08-31,"settled by the human, closing phase E's open decisions",**Batch 20 runs; the optional external check is not cut**,human-set
2026-08-31,"settled by the human, closing phase E's open decisions","**Batch 20 runs before batch 19, so the order is 18, 20, 19**",agent-autonomous
2026-08-31,"settled by the human, closing phase E's open decisions","**A git remote is created after all, at `github.com/sandvelab/`**",human-set
2026-08-31,"settled by the human, closing phase E's open decisions",**The manuscript's target venue is *PLoS Computational Biology***,human-set
2026-08-31,"settled by the human, closing phase E's open decisions","**What `/validate outsider` finds in the instruction files is fixed by the agent and logged, not brought back for approval first**",human-set
2026-09-01,"settled by the human, on batch 18's open question",**§3's freeze binds `manifest_holdout.csv` and not the tree or the development manifest**,agent-on-human-assessment
2026-09-01,"settled by the human, on batch 18's open question",**The perturbation set stays at 32 analyses; no further reasonable alternative is added**,human-set
2026-08-31,"settled by batch 18, from the clean-room and outsider checks",**The holdout seal takes two conditions and needs both**,agent-autonomous
2026-08-31,"settled by batch 18, from the clean-room and outsider checks",**The wrong counts are corrected in the live records and left standing in the batch reports and in this section**,agent-autonomous
2026-08-31,"settled by batch 18, from the clean-room and outsider checks","**`check_invariants.py` requires ancestry, and reads every hash on a `commit:` line**",agent-autonomous
2026-08-31,"settled by batch 18, from the clean-room and outsider checks",**The root `README.md` stops restating project state**,agent-autonomous
2026-08-31,"settled by batch 18, from the clean-room and outsider checks",**The provenance hash gap and the recomputed freeze become batches 23 and 24 rather than edits here**,agent-autonomous
2026-08-31,"settled by batch 18, from the clean-room and outsider checks","**The outsider check is two agents on two tasks, not one**",agent-autonomous
2026-09-01,"settled by batch 23, from the provenance records' digests","**The `hashes` invariant reads the whole `script:` block, not the `script:` line**",agent-autonomous
2026-09-01,"settled by batch 23, from the provenance records' digests",**A record satisfies the check by naming the current digest anywhere in it**,agent-autonomous
2026-09-01,"settled by batch 23, from the provenance records' digests",**A docstring-only change gets a section like any other**,agent-autonomous
2026-09-01,"settled by batch 23, from the provenance records' digests",**The development stability figures are re-drawn; the reported conclusion is not re-run**,agent-autonomous
2026-09-01,"settled by batch 23, from the provenance records' digests",**Hashing every transitively imported module is not adopted**,agent-autonomous
2026-09-01,"settled by batch 23, from the provenance records' digests",**The stale digests stay where they are**,"agent-autonomous, on the standing rule"
2026-09-01,"settled by batch 24, from the frozen set defending itself","**The frozen phase-E manifest is authoritative: once it exists, `freeze_holdout_manifest.py` verifies it and writes nothing to it**","agent-autonomous, inside the human-set §3"
2026-09-01,"settled by batch 24, from the frozen set defending itself","**A development row with no frozen twin is reported unpaired, not fatal**","agent-autonomous, following the human's clarification"
2026-09-01,"settled by batch 24, from the frozen set defending itself",**A drifted development conclusion is reported and not fatal**,agent-autonomous
2026-09-01,"settled by batch 24, from the frozen set defending itself",**The set is not re-derived at all once a holdout number has been seen; the file is restored from git**,agent-autonomous
2026-09-01,"settled by batch 24, from the frozen set defending itself","**`check_invariants.py` gains `freeze`, which checks the claim `holdout_freeze.json` makes about its own commit**",agent-autonomous
2026-09-01,"settled by batch 24, from the frozen set defending itself","**`frozen_on` was being overwritten by every run of the analysis, and is now written once**",agent-autonomous
2026-09-01,"settled by batch 24, from the frozen set defending itself",**The freeze path is kept although this project will never freeze again**,agent-autonomous
2026-09-02,"settled by batch 25, from the clean-room run that could not finish","**The batch is reported `blocked`, not `done — produced`**",agent-autonomous
2026-09-02,"settled by batch 25, from the clean-room run that could not finish",**Nothing was fixed in this batch**,agent-autonomous
2026-09-02,"settled by batch 25, from the clean-room run that could not finish",**The clean-room is run detached from the session that starts it**,agent-autonomous
2026-09-02,"settled by batch 25, from the clean-room run that could not finish",**The harness and comparison scripts are verified by digest against batch 18's provenance record before running**,agent-autonomous
2026-09-02,"settled by batch 25, from the clean-room run that could not finish",**The clean-room's own outputs are copied into the repository before the scratch clone is discarded**,agent-autonomous
2026-09-02,"settled by batch 25, from the clean-room run that could not finish","**`26-09-02_cleanroom_comparison.json`'s holdout half is recorded as absent, not as verified**",agent-autonomous
2026-09-02,"settled by batch 25, from the clean-room run that could not finish","**The tier-2 selection is a decision, not a derivation, and batch 26 will record it as one**",agent-autonomous
2026-09-02,"settled by batch 25, from the clean-room run that could not finish",**Whether the reference noise band should remain a max minus a min over four draws**,**carried to the human**
2026-09-02,"settled by batch 26, from making the manifest reproducible","**The tier-1 order and the tier-2 pairing are recorded in `results/manifest_selection.json` and replayed, never re-decided**",agent-autonomous
2026-09-02,"settled by batch 26, from making the manifest reproducible",**Membership still comes from the tree on every run; only the order and the pairing are recorded**,agent-autonomous
2026-09-02,"settled by batch 26, from making the manifest reproducible","**A drifted selection is reported, never absorbed and never fatal**",agent-autonomous
